Season,Games played,Champion,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,Team TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,Opp FT/FGA,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Opp ORB%
1998,5,True,-1.983,-3.404,-0.027,-2.523,-1.328,-1.331,-2.366,0.382,-0.747,-0.837,0.623,-2.88,2.505,2.191,-0.308,-1.828,1.89,-0.428,-2.336
1998,5,False,-0.824,-1.498,-0.68,-1.795,0.577,-0.733,-0.054,-2.655,3.179,0.581,2.17,-1.802,1.079,1.035,-0.925,-1.604,-0.58,-0.402,-2.288
1998,5,False,2.019,0.253,5.361,2.848,3.915,4.831,-0.536,3.747,0.321,0.808,-2.315,-0.974,2.853,2.576,2.733,1.366,1.824,-0.432,1.747
1998,5,False,-3.246,-2.219,-2.116,-0.825,-2.804,-2.647,-3.33,-2.942,-1.022,-0.837,0.314,2.507,-1.427,-1.43,-1.212,-2.164,-2.194,-0.468,-0.246
1999,4,False,-0.311,-0.713,1.352,0.411,0.556,0.281,0.087,1.669,0.868,-1.954,-3.342,-1.439,1.005,0.915,1.526,2.576,-0.101,-0.387,2.886
1999,4,False,-1.524,-2.739,-1.414,-3.926,-0.011,-0.044,0.579,-1.849,-0.115,-6.787,-0.992,1.431,3.044,2.95,4.452,1.127,-1.57,-0.417,0.256
1999,6,False,-1.979,-1.14,-1.414,-0.411,-0.944,-2.317,-2.046,-2.958,4.207,-0.79,0.218,2.806,-1.072,-1.077,-1.4,-1.502,-0.402,-0.397,-3.92
1999,4,True,1.079,-0.116,0.757,-0.969,2.255,1.302,1.646,-2.476,4.141,-1.081,-0.423,0.714,1.967,2.084,1.795,1.395,-1.683,-0.381,-0.517
2000,6,False,-0.048,-0.228,2.206,1.262,1.868,1.824,-2.726,-2.267,-0.189,-1.655,-2.568,2.718,0.384,0.31,2.386,0.474,-3.808,-0.249,2.603
2000,7,False,-5.133,-3.696,-4.23,-2.22,-3.068,-4.606,-2.859,-3.785,1.04,-2.702,-1.444,-0.098,-0.942,-1.001,-0.584,-0.756,-2.855,-0.221,-1.0
2000,5,True,-0.018,-1.095,1.711,-0.534,-0.898,-1.226,-2.859,3.216,2.761,-1.409,-0.217,0.023,1.861,1.784,0.39,-1.986,1.549,-0.209,2.187
2000,5,False,-1.556,-3.225,1.167,-2.55,0.932,-0.072,0.066,-0.701,3.148,-1.902,-0.013,1.229,3.528,3.176,1.461,0.064,1.005,-0.214,-2.525
2001,7,False,-0.464,0.234,0.721,1.998,-0.101,-0.126,-0.933,0.443,-0.623,-1.515,-3.174,1.303,-1.334,-1.388,0.826,2.421,-0.602,-0.04,2.035
2001,7,False,-0.763,-0.167,1.077,2.327,-0.402,-1.067,-0.933,1.81,1.42,3.228,-1.001,-1.667,-1.24,-1.236,-3.071,0.298,1.039,-0.006,1.015
2001,4,True,2.624,1.225,2.041,-0.141,1.709,1.151,0.038,1.935,5.165,-3.624,-0.458,0.891,2.85,3.023,3.402,0.475,0.864,-0.008,1.598
2001,5,False,1.553,-0.569,2.862,-0.512,3.034,3.637,0.402,0.857,1.031,-5.627,-4.35,-0.491,4.354,4.24,7.101,4.544,0.41,-0.017,0.651
2002,5,False,-3.549,-4.924,-3.814,-5.003,-2.327,-2.334,1.993,-1.639,-0.775,-2.5,0.364,-2.366,0.338,0.253,-0.386,2.009,1.065,-0.224,-5.671
2002,5,False,0.156,-0.121,-0.059,-0.518,-0.987,-1.768,-0.183,0.894,2.206,-1.683,-0.185,2.126,0.417,0.421,-0.445,-0.028,-0.379,-0.233,2.615
2002,5,True,-1.82,-2.819,-0.893,-1.787,-1.708,-0.762,-1.224,-0.069,-1.538,-3.642,-1.941,2.004,0.654,0.506,1.929,0.538,0.718,-0.265,-1.836
2002,5,False,3.811,4.09,3.001,2.443,1.938,1.124,-0.94,1.786,1.77,1.255,-2.38,-0.079,1.128,1.264,0.148,1.33,1.902,-0.219,-1.083
2003,6,False,-2.233,-1.326,-0.927,0.457,-0.383,-1.22,-0.233,-1.573,2.477,-0.397,0.581,1.13,-1.287,-1.267,-0.568,-0.638,-2.352,-0.346,2.298
2003,4,False,1.396,-0.819,-0.698,-3.358,1.072,0.505,1.185,-2.008,2.022,-1.155,2.525,0.269,2.854,3.027,1.195,-0.797,0.775,-0.343,-5.873
2003,7,False,5.557,5.417,3.468,2.833,2.487,3.327,-2.36,-0.979,-2.86,1.268,-3.308,1.883,0.121,0.279,1.415,0.319,-0.187,-0.41,-1.547
2003,6,True,0.833,-0.059,1.957,0.38,2.07,2.073,-1.917,-1.296,0.45,0.89,0.365,0.484,1.327,1.224,0.809,-1.992,-0.565,-0.362,-1.307
2004,7,True,-1.703,-1.686,-2.632,-2.543,-3.642,-4.211,0.803,0.36,1.479,-2.242,2.785,3.254,0.251,0.243,-0.718,-1.343,0.744,-0.211,-0.604
2004,6,False,-1.469,-1.413,-0.425,-0.558,0.527,-0.173,0.647,-1.384,5.207,-1.631,-1.257,2.366,0.218,0.132,1.523,1.508,-0.058,-0.183,-1.272
2004,6,False,-1.426,-1.589,-1.284,-1.619,0.922,2.123,1.426,-3.181,1.79,-1.464,-0.129,-2.125,0.58,0.539,2.979,1.369,-2.945,-0.172,0.681
2004,7,False,-0.595,0.205,-1.621,-0.258,-0.643,-0.727,0.959,-1.649,-0.384,-1.131,-2.291,1.008,-1.427,-1.423,0.627,2.551,1.105,-0.206,-3.018
2005,6,False,-2.484,-3.58,-1.476,-3.573,-2.45,-2.153,-0.124,1.249,-0.661,-3.487,0.468,-1.565,1.707,1.496,0.426,-0.604,1.795,-0.314,-1.015
2005,4,False,1.023,-0.247,1.127,-0.865,3.334,3.738,3.393,0.122,0.01,-2.33,-1.934,0.715,2.158,2.199,4.346,5.061,0.345,-0.334,-0.323
2005,6,False,3.829,3.258,3.073,2.511,2.433,2.476,-1.882,1.886,-1.165,0.799,-2.765,-0.94,1.192,1.391,1.457,1.251,0.184,-0.325,1.807
2005,6,True,0.061,-0.828,1.648,0.372,1.758,0.95,1.085,1.445,5.16,-0.085,-0.364,0.531,1.578,1.461,0.797,1.349,0.063,-0.296,1.488
2006,7,False,-3.083,-3.452,-0.725,-2.743,-2.437,-1.706,-0.355,0.917,0.336,-2.745,0.734,-0.5,1.448,1.211,0.637,-0.716,-0.483,-0.192,1.781
2006,5,True,1.028,0.07,2.087,0.666,4.809,3.536,0.25,-2.304,3.155,1.196,-0.141,0.556,1.485,1.508,1.694,0.259,-0.679,-0.174,-1.901
2006,7,False,1.535,1.101,2.516,2.539,1.774,-0.14,-2.17,0.786,2.794,1.697,-0.641,4.29,0.434,0.49,-1.238,-1.041,2.928,-0.208,-3.022
2006,7,False,3.777,4.312,3.493,6.331,3.333,2.719,-4.348,-2.913,-1.139,3.919,-1.141,0.594,-1.593,-1.63,-0.709,-2.179,-4.796,-0.214,2.955
2007,6,False,-3.206,-2.464,-3.633,-2.702,-3.717,-3.648,-0.479,0.321,-0.344,-1.197,2.816,-0.238,-0.325,-0.378,-1.945,-2.395,2.151,0.093,-3.214
2007,6,False,-1.614,-1.853,-0.753,-1.634,-2.099,-2.169,-0.58,1.796,-0.744,-3.14,1.175,1.891,0.932,0.864,0.566,-1.333,0.328,0.066,1.789
