Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Actual Wins (%),Pythagorean Wins (13.91) (%),Pythagorean Wins (16.5) (%),TS% Difference,Team TS%,Opp TS%
2005,MIA,WAS,4,103.5,94.5,111.3,101.6,0.56,0.44,16.6,11.9,28.4,27.8,0.252,0.263,False,9.7,9.0,12.0,4.7,0.6,-0.011,100.0,77.996,81.773,9.722,58.8536,49.1317
2005,PHO,DAL,6,117.5,110.8,118.4,111.7,0.536,0.486,11.8,11.0,32.0,31.8,0.231,0.218,False,6.7,6.7,5.0,0.8,0.2,0.013,66.667,69.353,72.487,4.583,57.4478,52.865
2005,SAS,SEA,6,98.7,91.8,113.2,105.3,0.507,0.473,14.5,13.6,31.1,31.2,0.344,0.258,True,7.9,6.9,3.4,0.9,-0.1,0.086,66.667,73.265,76.778,3.993,56.3938,52.4003
2006,DET,CLE,7,86.6,80.9,105.5,98.5,0.471,0.442,13.1,14.2,29.0,29.8,0.255,0.225,False,7.0,5.7,2.9,-1.1,-0.8,0.03,57.143,72.053,75.462,2.374,51.5061,49.1319
2006,MIA,NJN,5,102.0,95.6,112.7,105.6,0.548,0.497,13.6,13.5,21.6,22.9,0.341,0.253,True,7.1,6.4,5.1,0.1,-1.3,0.088,80.0,71.123,74.444,5.065,59.088,54.0235
2006,DAL,SAS,7,103.9,99.9,113.8,109.5,0.494,0.504,11.6,13.1,28.7,20.8,0.33,0.352,False,4.3,4.0,-1.0,-1.5,7.9,-0.022,57.143,63.323,65.651,-0.696,55.9128,56.6084
2006,PHO,LAC,7,112.3,113.3,116.3,117.4,0.536,0.535,9.8,12.7,20.2,32.0,0.21,0.254,False,-1.1,-1.0,0.1,-2.9,-11.8,-0.044,57.143,46.921,46.35,-0.769,57.5436,58.3123
2007,CLE,NJN,6,85.8,84.2,98.1,96.2,0.448,0.471,13.4,16.6,27.7,19.8,0.235,0.238,False,1.9,1.6,-2.3,-3.2,7.9,-0.003,66.667,56.509,57.703,-2.084,49.2578,51.342
2007,DET,CHI,6,93.0,87.5,105.8,99.6,0.471,0.443,13.3,15.3,31.7,30.2,0.226,0.304,False,6.2,5.5,2.8,-2.0,1.5,-0.078,66.667,70.014,73.221,1.834,51.6628,49.8292
2007,SAS,PHO,6,100.0,100.5,106.6,107.1,0.503,0.513,13.8,14.3,25.7,21.9,0.241,0.239,True,-0.5,-0.5,-1.0,-0.5,3.8,0.002,66.667,48.266,47.944,-1.304,54.5375,55.8416
2007,UTA,GSW,5,112.6,108.4,112.9,108.6,0.525,0.506,19.2,13.0,41.7,22.8,0.331,0.282,False,4.3,4.2,1.9,6.2,18.9,0.049,80.0,62.92,65.186,2.72,58.0939,55.3739
2008,BOS,CLE,7,84.0,85.1,99.8,101.1,0.455,0.446,14.5,14.3,26.2,26.4,0.276,0.303,True,-1.3,-1.1,0.9,0.2,-0.2,-0.027,57.143,45.488,44.654,0.692,51.2695,50.5771
2008,DET,ORL,5,91.6,90.2,108.2,106.5,0.444,0.525,8.1,15.6,27.0,27.6,0.261,0.196,False,1.7,1.4,-8.1,-7.5,-0.6,0.065,80.0,55.336,56.319,-4.251,50.6368,54.8875
2008,LAL,UTA,6,110.3,107.3,116.5,113.3,0.536,0.479,13.7,11.8,22.3,35.9,0.406,0.261,False,3.2,3.0,5.7,1.9,-13.6,0.145,66.667,59.473,61.183,6.882,60.2212,53.3395
2008,SAS,NOH,7,92.1,92.1,106.7,106.7,0.509,0.48,13.1,9.3,23.1,24.0,0.187,0.184,False,0.0,0.0,2.9,3.8,-0.9,0.003,57.143,50.0,50.0,2.404,54.1362,51.7324
2009,CLE,ATL,4,96.3,78.3,117.6,95.6,0.536,0.426,14.3,12.6,39.3,24.7,0.26,0.206,False,22.0,18.0,11.0,1.7,14.6,0.054,100.0,94.676,96.815,10.064,57.1284,47.0648
2009,ORL,BOS,7,96.0,91.7,106.7,101.9,0.504,0.473,12.6,13.6,19.9,23.0,0.251,0.247,False,4.8,4.3,3.1,-1.0,-3.1,0.004,57.143,65.417,68.051,1.951,54.5986,52.6471
2009,LAL,HOU,7,97.9,90.6,108.4,100.3,0.49,0.469,11.4,15.4,28.5,25.3,0.216,0.221,True,8.1,7.3,2.1,-4.0,3.2,-0.005,57.143,74.61,78.222,1.343,52.8713,51.528
2009,DEN,DAL,5,114.6,106.8,121.9,113.6,0.555,0.521,10.6,13.5,24.0,25.9,0.349,0.335,False,8.3,7.8,3.4,-2.9,-1.9,0.014,80.0,72.721,76.189,2.537,60.5606,58.0233
2010,BOS,CLE,6,100.5,95.2,108.4,102.7,0.503,0.48,12.3,15.5,23.7,21.5,0.266,0.367,False,5.7,5.3,2.3,-3.2,2.2,-0.101,66.667,67.997,70.97,0.067,54.7187,54.6516
2010,ORL,ATL,4,107.3,82.0,124.8,95.4,0.611,0.401,12.2,11.0,27.1,24.6,0.267,0.246,False,29.4,25.3,21.0,1.2,2.5,0.021,100.0,97.681,98.831,17.158,63.2669,46.1089
2010,LAL,UTA,4,109.3,102.0,120.3,112.3,0.529,0.482,11.3,10.4,33.5,30.6,0.282,0.239,True,8.0,7.3,4.7,0.9,2.9,0.043,100.0,72.342,75.778,4.978,57.8165,52.8388
2010,PHO,SAS,4,109.5,100.3,115.6,105.8,0.545,0.506,12.7,12.4,23.6,21.0,0.262,0.252,False,9.8,9.2,3.9,0.3,2.6,0.01,100.0,77.219,80.969,4.326,58.7383,54.4127
