Season,Team,Opponent,Games played,Champion,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Actual Wins (%),Pythagorean Wins (13.91) (%),Pythagorean Wins (16.5) (%),TS% Difference
2022,BOS,MIL,7,False,8.1,7.9,6.8,0.6,-7.2,0.02,57.143,74.68,78.296,6.701
2022,MIA,PHI,6,False,8.2,7.7,0.7,-2.2,7.8,0.003,66.667,74.218,77.802,0.451
2022,DAL,PHO,7,False,3.4,3.2,1.6,-3.0,-9.7,0.03,57.143,60.347,62.202,1.569
2022,GSW,MEM,6,True,0.6,0.7,3.7,5.2,2.6,-0.02,66.667,52.199,52.607,3.315
2023,MIA,NYK,6,False,4.2,3.8,-0.9,-3.7,-4.0,-0.031,66.667,62.627,64.848,-0.567
2023,BOS,PHI,7,False,9.5,8.8,5.6,-0.6,2.2,-0.018,57.143,75.991,79.685,4.318
2023,DEN,PHO,6,True,9.9,9.5,2.0,-1.2,7.0,0.049,66.667,76.42,80.135,2.963
2023,LAL,GSW,6,False,2.8,2.9,1.2,-2.4,-7.9,0.14,66.667,58.967,60.591,3.661
2024,IND,NYK,7,False,4.3,4.0,7.1,0.6,-4.6,-0.083,57.143,62.037,64.166,4.919
2024,BOS,CLE,5,True,8.0,7.2,3.8,2.7,8.8,0.078,80.0,72.233,75.658,5.216
2024,DAL,OKC,6,False,0.0,0.0,2.6,3.7,5.8,-0.007,66.667,50.0,50.0,1.023
2024,MIN,DEN,7,False,5.7,5.1,2.2,-0.9,1.7,0.028,57.143,67.007,69.855,2.057
2025,IND,CLE,5,False,3.4,3.4,9.5,1.6,-10.8,-0.075,80.0,60.063,61.871,7.043
2025,NYK,BOS,6,False,0.5,0.5,-0.7,-0.5,2.0,0.035,66.667,51.648,51.955,-0.378
2025,OKC,DEN,7,True,9.0,9.1,3.7,-5.4,-3.1,-0.041,57.143,75.815,79.499,2.312
2025,MIN,GSW,5,False,7.5,7.2,7.3,1.4,-5.8,-0.038,80.0,72.123,75.539,6.075
