Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion,Actual Wins (%),Team TS%,Opp TS%
2010,ORL,ATL,4,107.3,82.0,124.8,95.4,61.1,40.1,12.2,11.0,27.1,24.6,26.7,24.6,False,100.0,63.2669,46.1089
2010,LAL,UTA,4,109.3,102.0,120.3,112.3,52.9,48.2,11.3,10.4,33.5,30.6,28.2,23.9,True,100.0,57.8165,52.8388
2010,PHO,SAS,4,109.5,100.3,115.6,105.8,54.5,50.6,12.7,12.4,23.6,21.0,26.2,25.2,False,100.0,58.7383,54.4127
2011,CHI,ATL,6,92.7,85.7,108.6,100.4,48.9,46.2,12.1,12.2,30.0,22.3,19.7,21.5,False,66.667,53.0049,50.5269
2011,MIA,BOS,5,95.4,91.0,107.6,102.6,49.3,50.8,14.5,15.2,25.1,18.0,32.4,23.0,False,80.0,55.2954,55.2667
2011,DAL,LAL,4,102.3,88.3,116.0,100.1,57.5,44.6,14.3,11.6,21.1,28.9,21.3,17.5,True,100.0,61.0084,48.1977
2011,OKC,MEM,7,103.6,99.6,109.5,105.3,49.1,43.0,14.7,11.0,31.4,31.7,29.6,26.7,False,57.143,55.1213,49.0569
2012,MIA,IND,6,94.3,87.8,105.8,98.5,48.4,44.3,12.6,15.3,26.8,28.3,25.5,24.7,True,66.667,52.9685,49.6645
2012,BOS,PHI,7,89.1,85.4,100.5,96.3,46.8,44.3,14.4,12.8,19.8,25.8,24.4,20.4,False,57.143,52.3209,48.2476
2012,SAS,LAC,4,102.8,91.3,112.9,100.3,56.4,50.8,14.3,14.0,21.8,19.1,21.2,15.4,False,100.0,59.2902,53.0338
2012,OKC,LAL,5,100.2,90.8,114.3,103.6,49.5,44.4,9.0,12.9,25.9,27.3,25.6,27.7,False,80.0,54.9198,50.9608
2013,MIA,CHI,5,97.4,84.2,113.2,97.9,53.7,43.3,13.5,15.5,22.0,31.6,29.5,26.3,True,80.0,58.4325,48.8807
2013,IND,NYK,6,89.5,89.5,103.8,103.8,47.7,45.8,16.1,10.3,32.6,24.8,28.3,17.7,False,66.667,52.4988,49.8996
2013,MEM,OKC,5,93.6,89.6,101.7,97.3,43.4,44.0,9.9,13.9,23.0,23.3,26.7,23.4,False,80.0,49.3171,49.54
2013,SAS,GSW,6,102.0,98.2,106.6,102.6,48.6,47.5,10.9,12.9,23.7,27.9,21.3,17.1,False,66.667,52.5773,50.5458
2014,IND,WAS,6,89.0,86.8,99.2,96.8,47.8,45.8,12.5,14.4,13.4,28.0,23.4,17.6,False,66.667,52.0671,49.088
2014,MIA,BRK,5,97.8,92.4,118.1,111.5,56.0,52.7,10.7,13.5,17.2,28.1,27.7,17.6,False,80.0,60.8997,55.5235
2014,SAS,POR,5,108.8,95.4,112.3,98.5,53.0,45.3,8.8,14.4,22.0,24.7,16.7,18.3,True,80.0,55.9027,49.3912
