Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion
2017,GSW,UTA,4,111.0,96.0,115.5,99.9,0.545,0.473,10.1,11.4,16.8,15.1,0.236,0.211,True
2017,SAS,HOU,6,108.5,103.5,112.9,107.7,0.512,0.515,10.9,12.4,30.3,20.7,0.166,0.174,False
2018,BOS,PHI,5,106.4,103.4,109.9,106.8,0.522,0.473,10.9,11.6,17.7,28.7,0.23,0.208,False
2018,CLE,TOR,4,118.5,104.5,126.4,111.5,0.582,0.531,7.6,13.1,20.4,25.2,0.195,0.221,False
2018,GSW,NOP,5,115.0,106.4,108.5,100.4,0.516,0.498,11.3,12.7,19.0,16.9,0.197,0.129,True
2018,HOU,UTA,5,108.6,98.6,111.1,100.8,0.523,0.518,10.3,15.0,17.1,15.9,0.205,0.174,False
2019,MIL,BOS,5,113.0,104.4,109.1,100.8,0.514,0.473,10.8,12.2,18.9,15.1,0.216,0.249,False
2019,TOR,PHI,7,101.6,98.9,107.0,104.1,0.495,0.491,11.0,15.4,18.9,23.5,0.236,0.245,True
2019,GSW,HOU,6,111.7,109.8,114.7,112.8,0.536,0.546,12.4,14.8,25.1,26.5,0.213,0.224,False
2019,POR,DEN,7,111.3,113.1,112.6,114.5,0.492,0.477,9.4,8.9,26.0,31.0,0.215,0.257,False
2020,BOS,TOR,7,105.0,99.7,105.4,100.1,0.523,0.484,14.4,12.5,17.6,15.9,0.221,0.177,False
2020,MIA,MIL,5,112.8,106.0,114.8,107.9,0.55,0.501,14.0,11.9,19.5,22.8,0.288,0.227,False
2020,DEN,LAC,7,103.6,103.1,109.6,109.1,0.536,0.511,13.9,12.9,21.8,23.2,0.204,0.218,False
2020,LAL,HOU,5,111.0,103.8,115.1,107.7,0.585,0.534,16.0,13.8,25.4,13.4,0.197,0.249,True
2021,MIL,BRK,7,101.9,104.7,104.2,107.2,0.498,0.529,11.6,11.1,22.4,15.3,0.144,0.141,True
2021,ATL,PHI,7,107.9,110.7,109.1,112.0,0.506,0.55,10.8,12.4,19.7,20.4,0.226,0.234,False
2021,PHO,DEN,4,121.5,105.8,123.7,107.7,0.59,0.509,10.3,10.1,17.4,23.2,0.229,0.109,False
2021,LAC,UTA,6,120.0,111.5,128.2,119.1,0.598,0.573,10.0,12.6,22.7,22.9,0.242,0.209,False
2022,BOS,MIL,7,105.6,97.7,108.8,100.7,0.527,0.459,11.9,11.3,16.4,23.6,0.194,0.174,False
2022,MIA,PHI,6,105.2,97.5,112.7,104.5,0.521,0.514,12.5,14.7,25.5,17.7,0.22,0.217,False
2022,DAL,PHO,7,107.6,104.4,115.9,112.5,0.557,0.541,11.4,14.4,18.1,27.8,0.211,0.181,False
2022,GSW,MEM,6,111.0,110.3,109.0,108.4,0.533,0.496,15.5,10.3,26.9,24.3,0.152,0.172,True
2023,MIA,NYK,6,104.3,100.5,112.7,108.5,0.493,0.502,9.7,13.4,23.2,27.2,0.229,0.26,False
2023,BOS,PHI,7,110.7,101.9,118.2,108.7,0.554,0.498,10.8,11.4,21.3,19.1,0.211,0.229,False
2023,DEN,PHO,6,117.2,107.7,121.3,111.4,0.554,0.534,10.0,11.2,26.4,19.4,0.219,0.17,True
2023,LAL,GSW,6,112.7,109.8,113.9,111.1,0.535,0.523,10.0,12.4,19.1,27.0,0.245,0.105,False
2024,IND,NYK,7,115.3,111.3,124.4,120.1,0.603,0.532,11.2,10.6,26.0,30.6,0.14,0.223,False
2024,BOS,CLE,5,108.4,101.2,120.4,112.4,0.571,0.533,11.3,8.6,25.7,16.9,0.18,0.102,True
2024,DAL,OKC,6,106.0,106.0,112.3,112.3,0.535,0.509,13.1,9.4,28.2,22.4,0.174,0.181,False
2024,MIN,DEN,7,102.7,97.6,113.8,108.1,0.539,0.517,11.5,12.4,22.8,21.1,0.201,0.173,False
2025,IND,CLE,5,117.6,114.2,116.7,113.3,0.585,0.49,13.3,11.7,18.0,28.8,0.22,0.295,False
2025,NYK,BOS,6,105.7,105.2,112.9,112.4,0.508,0.515,11.7,12.2,29.6,27.6,0.211,0.176,False
2025,OKC,DEN,7,115.4,106.3,114.6,105.6,0.518,0.481,9.7,15.1,24.9,28.0,0.208,0.249,True
2025,MIN,GSW,5,109.0,101.8,113.9,106.4,0.567,0.494,16.8,15.4,26.2,32.0,0.189,0.227,False
2026,NYK,PHI,4,124.3,102.0,132.3,108.6,0.636,0.514,12.6,13.7,32.1,21.6,0.233,0.255,True
2026,CLE,DET,7,108.9,107.4,115.6,114.1,0.537,0.525,14.6,14.0,29.4,32.3,0.299,0.203,False
2026,SAS,MIN,6,120.7,104.5,119.0,103.1,0.565,0.464,12.5,12.0,26.9,24.0,0.25,0.191,False
2026,OKC,LAL,4,119.8,103.8,126.6,109.7,0.614,0.541,12.2,17.4,26.1,26.9,0.176,0.219,False
